"filename", "language", "JavaScript", "JavaScript JSX", "TypeScript", "XML", "SCSS", "comment", "blank", "total"
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/actions/appDatas.js", "JavaScript", 0, 0, 0, 0, 0, 24, 3, 27
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/actions/entities.js", "JavaScript", 60, 0, 0, 0, 0, 1, 12, 73
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/actions/modalActions.js", "JavaScript", 8, 0, 0, 0, 0, 0, 4, 12
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/actions/user.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/assets/logo.svg", "XML", 0, 0, 0, 4, 0, 0, 1, 5
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/App/App.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 6, 34
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/App/App.scss", "SCSS", 0, 0, 0, 0, 2, 1, 1, 4
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/AppHeader/AppHeader.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 3, 21
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/AppHeader/AppHeader.scss", "SCSS", 0, 0, 0, 0, 17, 0, 3, 20
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/Crud.jsx", "JavaScript JSX", 0, 264, 0, 0, 0, 8, 25, 297
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/Crud.scss", "SCSS", 0, 0, 0, 0, 12, 0, 4, 16
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/ModalDelete/ModalDelete.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 2, 7, 91
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/ModalDelete/ModalDelete.scss", "SCSS", 0, 0, 0, 0, 57, 1, 9, 67
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/ModalFormCreate/ModalFormCreate.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 9, 9, 119
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/ModalFormCreate/ModalFormCreate.scss", "SCSS", 0, 0, 0, 0, 67, 0, 7, 74
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/ModalFormPatch/ModalFormPatch.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 11, 10, 133
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/ModalFormPatch/ModalFormPatch.scss", "SCSS", 0, 0, 0, 0, 67, 0, 7, 74
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/Toolbar/Toolbar.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 6, 40
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Crud/Toolbar/Toolbar.scss", "SCSS", 0, 0, 0, 0, 3, 1, 2, 6
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Dashboard/Dashboard.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 3, 15
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Dashboard/Dashboard.scss", "SCSS", 0, 0, 0, 0, 17, 1, 4, 22
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Error/Error.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 3, 19
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Error/Error.scss", "SCSS", 0, 0, 0, 0, 28, 0, 3, 31
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/FormTemplate/FormTemplate.jsx", "JavaScript JSX", 0, 135, 0, 0, 0, 12, 9, 156
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/FormTemplate/FormTemplate.scss", "SCSS", 0, 0, 0, 0, 96, 0, 14, 110
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Features/Features.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 4, 36
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Features/Features.scss", "SCSS", 0, 0, 0, 0, 41, 0, 7, 48
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Footer/Footer.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 3, 22
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Footer/Footer.scss", "SCSS", 0, 0, 0, 0, 10, 0, 3, 13
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Header/Header.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 3, 31
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Header/Header.scss", "SCSS", 0, 0, 0, 0, 33, 0, 5, 38
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/HomeMenu/HomeMenu.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 13, 105
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/HomeMenu/HomeMenu.scss", "SCSS", 0, 0, 0, 0, 52, 0, 8, 60
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Homepage.jsx", "JavaScript JSX", 0, 103, 0, 0, 0, 11, 19, 133
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Homepage.scss", "SCSS", 0, 0, 0, 0, 78, 0, 15, 93
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/LegalNotice/LegalNotice.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 3, 82
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/LegalNotice/LegalNotice.scss", "SCSS", 0, 0, 0, 0, 66, 0, 7, 73
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Presentation/Presentation.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 1, 3, 33
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/Presentation/Presentation.scss", "SCSS", 0, 0, 0, 0, 49, 0, 8, 57
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/TeamMembers/TeamMembers.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 3, 29
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Homepage/TeamMembers/TeamMembers.scss", "SCSS", 0, 0, 0, 0, 57, 0, 9, 66
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Loader/Loader.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 3, 10
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Loader/Loader.scss", "SCSS", 0, 0, 0, 0, 3, 1, 2, 6
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Login/Login.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 1, 10, 70
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Login/Login.scss", "SCSS", 0, 0, 0, 0, 34, 0, 5, 39
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Page/Page.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 1, 11, 60
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Page/Page.scss", "SCSS", 0, 0, 0, 0, 32, 0, 4, 36
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/ProtectedRoute/ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/ProtectedRoute/ProtectedRoute.scss", "SCSS", 0, 0, 0, 0, 3, 1, 2, 6
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Sidebar/Sidebar.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 3, 8, 90
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/components/Sidebar/Sidebar.scss", "SCSS", 0, 0, 0, 0, 98, 0, 15, 113
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/crudsConfig/crudsConfig.js", "JavaScript", 119, 0, 0, 0, 0, 8, 9, 136
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/brandFormConfig.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"/Applications/MAMP/htdocs/PROJET14/projet-14-gestion-logistique-front/src/formsConfig/categoryFormConfig.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
